POA,V,I,P,Energy
301,602,1,54,27
301,602,1,54,27
549,590,2,170,85
549,590,2,170,85
769,695,4,316,158
769,695,4,316,158
939,681,4,277,139
939,681,4,277,139
1047,694,3,214,107
1047,694,3,214,107
1082,680,3,251,125
1082,680,3,251,125
1040,586,3,219,109
1040,586,3,219,109
924,677,3,240,120
924,677,3,240,120
722,690,3,248,124
722,690,3,248,124
302,655,3,176,88
302,655,3,176,88
72,607,5,456,228
72,607,5,456,228
22,615,3,284,142
22,615,3,284,142
0,572,1,47,24
0,572,1,47,24
109,570,0,19,10
109,570,0,19,10
203,633,1,150,75
203,633,1,150,75
467,642,2,235,117
467,642,2,235,117
560,647,6,595,298
560,647,6,595,298
594,627,6,628,314
594,627,6,628,314
855,669,5,378,189
855,669,5,378,189
791,684,5,358,179
791,684,5,358,179
654,633,6,366,183
654,633,6,366,183
81,620,5,491,245
81,620,5,491,245
20,596,1,79,40
20,596,1,79,40
228,587,0,33,17
228,587,0,33,17
529,638,2,189,94
529,638,2,189,94
732,597,6,574,287
732,597,6,574,287
564,601,5,461,231
564,601,5,461,231
454,646,8,519,259
454,646,8,519,259
366,620,5,522,261
366,620,5,522,261
382,624,6,552,276
382,624,6,552,276
370,618,2,161,80
370,618,2,161,80
152,608,1,128,64
152,608,1,128,64
101,611,1,139,69
101,611,1,139,69
28,632,3,265,133
28,632,3,265,133
0,647,4,394,197
0,647,4,394,197
102,586,0,34,17
102,586,0,34,17
292,636,1,151,75
292,636,1,151,75
430,639,2,198,99
430,639,2,198,99
473,676,2,93,46
473,676,2,93,46
847,693,3,172,86
847,693,3,172,86
1011,689,3,211,106
1011,689,3,211,106
899,694,4,218,109
899,694,4,218,109
718,667,4,312,156
718,667,4,312,156
482,691,3,185,92
482,691,3,185,92
192,645,3,162,81
192,645,3,162,81
30,655,3,140,70
30,655,3,140,70
0,597,1,51,26
0,597,1,51,26
137,588,0,32,16
137,588,0,32,16
219,648,2,246,123
219,648,2,246,123
388,632,3,291,146
388,632,3,291,146
513,645,4,458,229
513,645,4,458,229
803,666,3,179,90
803,666,3,179,90
636,613,3,338,169
636,613,3,338,169
496,691,3,182,91
496,691,3,182,91
242,602,3,298,149
242,602,3,298,149
328,659,4,472,236
328,659,4,472,236
143,653,5,350,175
143,653,5,350,175
20,624,4,381,191
20,624,4,381,191
0,608,1,108,54
0,608,1,108,54
288,591,0,33,16
288,591,0,33,16
489,607,2,151,75
489,607,2,151,75
576,589,6,560,280
576,589,6,560,280
646,624,5,486,243
646,624,5,486,243
542,637,5,376,188
542,637,5,376,188
402,688,4,300,150
402,688,4,300,150
585,696,4,289,144
585,696,4,289,144
718,607,3,330,165
718,607,3,330,165
614,666,5,347,173
614,666,5,347,173
340,647,4,252,126
340,647,4,252,126
150,608,2,235,118
150,608,2,235,118
38,596,2,148,74
38,596,2,148,74
0,631,3,335,167
0,631,3,335,167
273,600,1,57,28
273,600,1,57,28
498,620,1,127,63
498,620,1,127,63
741,579,6,543,272
741,579,6,543,272
921,673,2,118,59
921,673,2,118,59
1031,679,1,135,67
1031,679,1,135,67
1068,668,2,75,38
1068,668,2,75,38
1028,641,2,73,36
1028,641,2,73,36
913,663,3,211,105
913,663,3,211,105
670,687,2,164,82
670,687,2,164,82
418,656,4,192,96
418,656,4,192,96
156,655,3,255,127
156,655,3,255,127
29,560,0,15,7
29,560,0,15,7
82,577,0,19,9
82,577,0,19,9
171,649,2,216,108
171,649,2,216,108
350,669,5,390,195
350,669,5,390,195
488,624,7,646,323
488,624,7,646,323
457,659,6,436,218
457,659,6,436,218
636,622,7,696,348
636,622,7,696,348
432,587,3,297,148
432,587,3,297,148
335,643,4,450,225
335,643,4,450,225
599,675,4,284,142
599,675,4,284,142
439,650,7,481,241
439,650,7,481,241
168,602,1,121,61
168,602,1,121,61
66,607,1,108,54
66,607,1,108,54
18,589,1,48,24
18,589,1,48,24
57,576,0,20,10
57,576,0,20,10
227,635,2,159,79
227,635,2,159,79
433,645,4,384,192
433,645,4,384,192
570,633,7,695,348
570,633,7,695,348
529,663,5,397,198
529,663,5,397,198
513,605,7,507,253
513,605,7,507,253
639,626,2,72,36
639,626,2,72,36
742,628,7,483,241
742,628,7,483,241
538,608,4,400,200
538,608,4,400,200
173,622,4,363,181
173,622,4,363,181
59,620,3,347,173
59,620,3,347,173
18,610,1,122,61
18,610,1,122,61
95,586,0,34,17
95,586,0,34,17
112,629,2,160,80
112,629,2,160,80
222,615,1,111,55
222,615,1,111,55
426,640,7,711,355
426,640,7,711,355
932,626,1,36,18
932,626,1,36,18
0,591,8,784,392
0,591,8,784,392
0,598,3,308,154
0,598,3,308,154
0,589,1,60,30
0,589,1,60,30
749,613,1,67,33
749,613,1,67,33
490,626,6,571,285
490,626,6,571,285
229,571,12,1071,535
229,571,12,1071,535
27,574,16,1426,713
27,574,16,1426,713
0,601,17,1662,831
0,601,17,1662,831
0,578,5,481,240
0,578,5,481,240
0,603,13,1283,642
0,603,13,1283,642
0,555,17,1544,772
0,555,17,1544,772
0,587,3,283,142
0,587,3,283,142
0,580,11,997,499
0,580,11,997,499
0,607,4,409,205
0,607,4,409,205
0,582,1,61,31
0,582,1,61,31
740,623,1,94,47
740,623,1,94,47
477,626,3,327,164
477,626,3,327,164
156,598,11,1041,520
156,598,11,1041,520
21,581,7,682,341
21,581,7,682,341
0,589,6,615,307
0,589,6,615,307
0,591,18,1672,836
0,591,18,1672,836
0,578,18,1640,820
0,578,18,1640,820
0,565,1,54,27
0,565,1,54,27
0,576,0,17,9
0,576,0,17,9
0,592,0,47,24
0,592,0,47,24
0,621,2,165,83
0,621,2,165,83
0,596,1,59,30
0,596,1,59,30
316,607,1,54,27
316,607,1,54,27
251,632,6,573,286
251,632,6,573,286
169,564,12,1043,522
169,564,12,1043,522
21,572,15,1386,693
21,572,15,1386,693
0,562,17,1570,785
0,562,17,1570,785
0,562,19,1676,838
0,562,19,1676,838
0,583,18,1676,838
0,583,18,1676,838
0,558,17,1545,772
0,558,17,1545,772
0,564,14,1310,655
0,564,14,1310,655
0,584,10,950,475
0,584,10,950,475
0,600,3,283,141
0,600,3,283,141
0,579,1,51,25
0,579,1,51,25
727,608,1,60,30
727,608,1,60,30
354,628,5,554,277
354,628,5,554,277
59,565,11,1043,522
59,565,11,1043,522
13,570,15,1387,694
13,570,15,1387,694
0,562,17,1559,779
0,562,17,1559,779
0,558,19,1670,835
0,558,19,1670,835
0,579,4,369,185
0,579,4,369,185
0,554,18,1615,808
0,554,18,1615,808
0,578,4,377,189
0,578,4,377,189
0,616,8,842,421
0,616,8,842,421
0,603,4,410,205
0,603,4,410,205
0,583,1,52,26
0,583,1,52,26
515,606,1,56,28
515,606,1,56,28
485,625,6,556,278
485,625,6,556,278
235,564,11,1038,519
235,564,11,1038,519
25,570,15,1382,691
25,570,15,1382,691
0,559,17,1546,773
0,559,17,1546,773
0,551,18,1634,817
0,551,18,1634,817
0,574,18,1677,838
0,574,18,1677,838
0,553,19,1641,820
0,553,19,1641,820
0,601,10,1004,502
0,601,10,1004,502
0,604,2,198,99
0,604,2,198,99
0,601,4,399,200
0,601,4,399,200
0,573,1,62,31
0,573,1,62,31
375,605,1,56,28
375,605,1,56,28
322,625,5,547,274
322,625,5,547,274
47,561,11,1031,515
47,561,11,1031,515
11,571,15,1357,679
11,571,15,1357,679
0,560,17,1538,769
0,560,17,1538,769
0,552,18,1611,806
0,552,18,1611,806
0,563,5,433,217
0,563,5,433,217
0,554,18,1591,795
0,554,18,1591,795
0,570,14,1259,629
0,570,14,1259,629
0,592,9,866,433
0,592,9,866,433
0,600,4,381,191
0,600,4,381,191
0,574,1,47,23
0,574,1,47,23
466,614,1,62,31
466,614,1,62,31
244,630,5,545,272
244,630,5,545,272
55,562,11,1038,519
55,562,11,1038,519
10,574,15,1360,680
10,574,15,1360,680
0,564,17,1558,779
0,564,17,1558,779
0,560,18,1626,813
0,560,18,1626,813
0,557,18,1628,814
0,557,18,1628,814
0,560,17,1536,768
0,560,17,1536,768
0,611,4,384,192
0,611,4,384,192
0,603,9,842,421
0,603,9,842,421
0,594,4,401,200
0,594,4,401,200
0,570,0,37,19
0,570,0,37,19
210,600,1,61,30
210,600,1,61,30
213,625,5,540,270
213,625,5,540,270
67,563,11,1016,508
67,563,11,1016,508
13,570,15,1360,680
13,570,15,1360,680
0,561,17,1547,773
0,561,17,1547,773
0,554,18,1609,804
0,554,18,1609,804
0,583,18,1666,833
0,583,18,1666,833
0,568,17,1579,790
0,568,17,1579,790
0,564,13,1200,600
0,564,13,1200,600
0,582,9,834,417
0,582,9,834,417
0,595,4,384,192
0,595,4,384,192
0,570,1,56,28
0,570,1,56,28
694,591,1,50,25
694,591,1,50,25
441,542,6,535,268
441,542,6,535,268
143,560,11,997,498
143,560,11,997,498
14,573,15,1343,672
14,573,15,1343,672
0,574,17,1539,770
0,574,17,1539,770
0,627,15,1549,774
0,627,15,1549,774
0,573,4,347,173
0,573,4,347,173
0,563,17,1507,754
0,563,17,1507,754
0,569,14,1254,627
0,569,14,1254,627
0,594,9,888,444
0,594,9,888,444
0,596,6,558,279
0,596,6,558,279
0,586,1,99,50
0,586,1,99,50
530,611,1,96,48
530,611,1,96,48
326,613,6,558,279
326,613,6,558,279
180,563,11,991,496
180,563,11,991,496
14,581,14,1342,671
14,581,14,1342,671
0,573,17,1539,769
0,573,17,1539,769
0,599,10,1001,501
0,599,10,1001,501
0,585,12,1142,571
0,585,12,1142,571
0,573,17,1526,763
0,573,17,1526,763
547,572,14,815,408
547,572,14,815,408
313,590,7,708,354
313,590,7,708,354
134,602,4,433,217
134,602,4,433,217
3,560,1,48,24
3,560,1,48,24
60,582,0,29,14
60,582,0,29,14
181,625,2,186,93
181,625,2,186,93
416,635,4,375,188
416,635,4,375,188
700,621,11,1072,536
700,621,11,1072,536
958,570,17,1586,793
958,570,17,1586,793
1008,562,18,1628,814
1008,562,18,1628,814
970,563,18,1586,793
970,563,18,1586,793
850,563,17,1532,766
850,563,17,1532,766
655,599,9,878,439
655,599,9,878,439
403,613,4,442,221
403,613,4,442,221
128,603,5,444,222
128,603,5,444,222
2,575,0,43,22
2,575,0,43,22
182,595,1,54,27
182,595,1,54,27
428,581,5,513,256
428,581,5,513,256
663,558,11,983,492
663,558,11,983,492
850,574,14,1329,665
850,574,14,1329,665
970,565,17,1520,760
970,565,17,1520,760
1012,630,17,1673,837
1012,630,17,1673,837
971,561,10,894,447
971,561,10,894,447
830,558,17,1509,754
830,558,17,1509,754
543,570,15,1351,675
543,570,15,1351,675
376,598,9,859,430
376,598,9,859,430
114,581,1,110,55
114,581,1,110,55
1,537,0,18,9
1,537,0,18,9
78,607,1,86,43
78,607,1,86,43
222,619,2,245,123
222,619,2,245,123
306,604,6,606,303
306,604,6,606,303
448,615,4,444,222
448,615,4,444,222
279,595,8,773,387
279,595,8,773,387
456,621,7,673,336
456,621,7,673,336
704,599,8,796,398
704,599,8,796,398
679,580,14,1267,633
679,580,14,1267,633
567,572,12,1097,548
567,572,12,1097,548
376,589,7,694,347
376,589,7,694,347
114,594,4,360,180
114,594,4,360,180
2,562,0,33,16
2,562,0,33,16
111,614,1,114,57
111,614,1,114,57
148,619,2,166,83
148,619,2,166,83
267,615,2,216,108
267,615,2,216,108
307,609,2,243,122
307,609,2,243,122
269,631,8,783,391
269,631,8,783,391
370,617,7,716,358
370,617,7,716,358
564,620,11,1056,528
564,620,11,1056,528
707,605,8,757,379
707,605,8,757,379
372,615,6,575,288
372,615,6,575,288
162,608,2,177,89
162,608,2,177,89
48,617,1,138,69
48,617,1,138,69
1,549,0,12,6
1,549,0,12,6
103,597,1,65,32
103,597,1,65,32
205,646,3,330,165
205,646,3,330,165
364,636,4,381,190
364,636,4,381,190
569,609,7,676,338
569,609,7,676,338
576,611,11,1094,547
576,611,11,1094,547
583,606,7,675,338
583,606,7,675,338
792,613,15,1464,732
792,613,15,1464,732
648,594,8,756,378
648,594,8,756,378
417,601,11,1075,538
417,601,11,1075,538
225,615,4,425,212
225,615,4,425,212
35,618,2,236,118
35,618,2,236,118
1,593,1,54,27
1,593,1,54,27
183,590,0,42,21
183,590,0,42,21
434,606,6,541,271
434,606,6,541,271
670,576,11,1053,527
670,576,11,1053,527
859,591,15,1413,707
859,591,15,1413,707
980,582,17,1609,804
980,582,17,1609,804
1021,570,18,1676,838
1021,570,18,1676,838
979,566,18,1650,825
979,566,18,1650,825
852,581,17,1604,802
852,581,17,1604,802
654,567,4,350,175
654,567,4,350,175
401,588,2,193,96
401,588,2,193,96
122,608,1,140,70
122,608,1,140,70
1,572,0,30,15
1,572,0,30,15
186,619,1,66,33
186,619,1,66,33
442,609,6,544,272
442,609,6,544,272
679,574,11,1057,529
679,574,11,1057,529
867,591,15,1422,711
867,591,15,1422,711
986,583,17,1629,814
986,583,17,1629,814
1028,589,18,1672,836
1028,589,18,1672,836
986,570,18,1644,822
986,570,18,1644,822
861,571,17,1546,773
861,571,17,1546,773
637,585,15,1389,695
637,585,15,1389,695
370,595,7,684,342
370,595,7,684,342
126,606,2,246,123
126,606,2,246,123
1,576,0,29,14
1,576,0,29,14
186,597,0,39,20
186,597,0,39,20
440,614,6,555,278
440,614,6,555,278
677,573,11,1054,527
677,573,11,1054,527
865,582,15,1404,702
865,582,15,1404,702
985,574,17,1589,795
985,574,17,1589,795
1027,563,18,1652,826
1027,563,18,1652,826
873,565,18,1651,825
873,565,18,1651,825
842,593,17,1628,814
842,593,17,1628,814
669,585,15,1404,702
669,585,15,1404,702
420,601,9,866,433
420,601,9,866,433
132,616,4,391,196
132,616,4,391,196
1,569,0,25,13
1,569,0,25,13
187,602,0,41,21
187,602,0,41,21
441,619,5,544,272
441,619,5,544,272
678,568,11,1047,524
678,568,11,1047,524
865,577,15,1382,691
865,577,15,1382,691
983,568,17,1570,785
983,568,17,1570,785
1023,611,17,1672,836
1023,611,17,1672,836
980,568,18,1679,839
980,568,18,1679,839
854,570,17,1508,754
854,570,17,1508,754
654,581,14,1304,652
654,581,14,1304,652
397,611,4,375,188
397,611,4,375,188
113,580,1,82,41
113,580,1,82,41
1,566,0,20,10
1,566,0,20,10
186,602,0,41,21
186,602,0,41,21
441,632,5,534,267
441,632,5,534,267
678,568,11,1027,514
678,568,11,1027,514
866,579,15,1378,689
866,579,15,1378,689
985,570,17,1564,782
985,570,17,1564,782
1026,572,9,795,398
1026,572,9,795,398
985,558,18,1612,806
985,558,18,1612,806
862,566,6,533,266
862,566,6,533,266
664,565,6,535,267
664,565,6,535,267
408,601,7,657,328
408,601,7,657,328
118,604,4,358,179
118,604,4,358,179
0,572,0,23,11
0,572,0,23,11
182,600,0,44,22
182,600,0,44,22
433,641,5,524,262
433,641,5,524,262
668,571,11,1010,505
668,571,11,1010,505
846,580,15,1360,680
846,580,15,1360,680
939,575,16,1515,758
939,575,16,1515,758
885,585,18,1646,823
885,585,18,1646,823
955,597,17,1671,836
955,597,17,1671,836
833,554,11,960,480
833,554,11,960,480
645,570,14,1295,647
645,570,14,1295,647
396,588,9,829,415
396,588,9,829,415
111,601,4,357,179
111,601,4,357,179
0,561,0,21,11
0,561,0,21,11
164,620,1,82,41
164,620,1,82,41
350,633,5,549,275
350,633,5,549,275
642,569,8,703,351
642,569,8,703,351
813,576,14,1313,657
813,576,14,1313,657
763,574,12,1147,573
763,574,12,1147,573
880,619,16,1562,781
880,619,16,1562,781
814,601,17,1657,829
814,601,17,1657,829
774,589,6,524,262
774,589,6,524,262
629,599,14,1355,678
629,599,14,1355,678
356,579,5,518,259
356,579,5,518,259
102,588,1,68,34
102,588,1,68,34
137,607,1,81,40
137,607,1,81,40
86,628,4,372,186
86,628,4,372,186
148,607,1,75,38
148,607,1,75,38
267,618,1,118,59
267,618,1,118,59
531,644,8,857,428
531,644,8,857,428
381,613,7,651,326
381,613,7,651,326
688,619,9,902,451
688,619,9,902,451
420,595,12,1163,581
420,595,12,1163,581
115,606,2,198,99
115,606,2,198,99
39,589,1,59,29
39,589,1,59,29
17,577,0,33,16
17,577,0,33,16
131,593,0,39,20
131,593,0,39,20
307,637,3,325,162
307,637,3,325,162
532,606,5,466,233
532,606,5,466,233
711,578,8,743,372
711,578,8,743,372
868,560,18,1573,786
868,560,18,1573,786
876,562,15,1377,689
876,562,15,1377,689
547,574,12,1119,559
547,574,12,1119,559
614,591,13,1229,615
614,591,13,1229,615
357,585,11,1082,541
357,585,11,1082,541
122,588,3,265,132
122,588,3,265,132
54,611,4,401,201
54,611,4,401,201
0,539,0,16,8
0,539,0,16,8
170,597,0,45,23
170,597,0,45,23
409,636,5,495,248
409,636,5,495,248
604,562,11,978,489
604,562,11,978,489
796,571,14,1269,635
796,571,14,1269,635
934,567,17,1509,755
934,567,17,1509,755
925,575,18,1652,826
925,575,18,1652,826
663,589,18,1652,826
663,589,18,1652,826
622,591,5,524,262
622,591,5,524,262
398,582,10,922,461
398,582,10,922,461
245,604,4,351,175
245,604,4,351,175
61,601,4,376,188
61,601,4,376,188
0,545,0,19,10
0,545,0,19,10
171,597,0,44,22
171,597,0,44,22
416,629,5,508,254
416,629,5,508,254
646,570,11,993,497
646,570,11,993,497
826,580,14,1320,660
826,580,14,1320,660
938,566,16,1485,742
938,566,16,1485,742
973,555,17,1548,774
973,555,17,1548,774
926,555,17,1470,735
926,555,17,1470,735
797,561,6,588,294
797,561,6,588,294
586,592,8,806,403
586,592,8,806,403
315,596,9,818,409
315,596,9,818,409
74,600,2,169,84
74,600,2,169,84
0,540,0,18,9
0,540,0,18,9
165,587,0,44,22
165,587,0,44,22
393,631,5,484,242
393,631,5,484,242
605,562,10,923,461
605,562,10,923,461
807,580,14,1303,651
807,580,14,1303,651
909,572,17,1560,780
909,572,17,1560,780
929,566,16,1444,722
929,566,16,1444,722
862,581,12,1149,575
862,581,12,1149,575
711,608,14,1368,684
711,608,14,1368,684
537,591,9,825,412
537,591,9,825,412
307,607,4,384,192
307,607,4,384,192
74,592,1,109,54
74,592,1,109,54
103,587,0,32,16
103,587,0,32,16
188,619,2,151,76
188,619,2,151,76
369,609,8,738,369
369,609,8,738,369
417,614,7,713,356
417,614,7,713,356
473,616,10,1012,506
473,616,10,1012,506
381,618,6,614,307
381,618,6,614,307
457,621,9,853,426
457,621,9,853,426
540,623,8,834,417
540,623,8,834,417
386,612,4,420,210
386,612,4,420,210
215,616,3,271,136
215,616,3,271,136
38,606,2,174,87
38,606,2,174,87
0,545,0,13,6
0,545,0,13,6
177,600,0,39,19
177,600,0,39,19
428,640,5,521,260
428,640,5,521,260
662,576,11,1023,511
662,576,11,1023,511
847,589,14,1370,685
847,589,14,1370,685
963,574,17,1552,776
963,574,17,1552,776
1000,565,18,1592,796
1000,565,18,1592,796
955,561,17,1543,771
955,561,17,1543,771
827,571,15,1394,697
827,571,15,1394,697
628,587,12,1132,566
628,587,12,1132,566
373,598,8,758,379
373,598,8,758,379
87,607,3,299,150
87,607,3,299,150
168,601,0,41,21
168,601,0,41,21
416,640,5,496,248
416,640,5,496,248
644,570,11,966,483
644,570,11,966,483
825,580,14,1301,651
825,580,14,1301,651
938,571,16,1481,741
938,571,16,1481,741
975,564,17,1535,767
975,564,17,1535,767
930,566,17,1500,750
930,566,17,1500,750
804,575,15,1370,685
804,575,15,1370,685
607,584,11,1058,529
607,584,11,1058,529
353,594,8,722,361
353,594,8,722,361
77,602,3,283,141
77,602,3,283,141
162,600,0,41,21
162,600,0,41,21
409,640,5,482,241
409,640,5,482,241
636,564,10,938,469
636,564,10,938,469
816,579,14,1277,639
816,579,14,1277,639
929,572,16,1454,727
929,572,16,1454,727
965,567,17,1522,761
965,567,17,1522,761
919,564,16,1467,733
919,564,16,1467,733
793,576,14,1336,668
793,576,14,1336,668
594,586,11,1058,529
594,586,11,1058,529
329,594,7,680,340
329,594,7,680,340
69,598,3,309,154
69,598,3,309,154
59,583,0,36,18
59,583,0,36,18
135,625,2,163,82
135,625,2,163,82
384,614,5,511,256
384,614,5,511,256
430,602,8,818,409
430,602,8,818,409
325,619,6,608,304
325,619,6,608,304
423,615,3,280,140
423,615,3,280,140
514,603,6,587,293
514,603,6,587,293
357,610,8,738,369
357,610,8,738,369
351,607,9,846,423
351,607,9,846,423
201,609,7,730,365
201,609,7,730,365
26,611,2,151,75
26,611,2,151,75
160,593,1,52,26
160,593,1,52,26
402,638,5,499,250
402,638,5,499,250
622,578,9,850,425
622,578,9,850,425
797,593,14,1309,655
797,593,14,1309,655
870,584,16,1507,753
870,584,16,1507,753
641,616,12,1208,604
641,616,12,1208,604
548,616,13,1290,645
548,616,13,1290,645
649,607,15,1436,718
649,607,15,1436,718
560,610,4,367,184
560,610,4,367,184
314,611,7,715,358
314,611,7,715,358
60,607,1,104,52
60,607,1,104,52
168,608,0,41,20
168,608,0,41,20
411,650,5,505,252
411,650,5,505,252
638,585,11,1006,503
638,585,11,1006,503
818,602,14,1340,670
818,602,14,1340,670
929,584,16,1509,755
929,584,16,1509,755
962,576,18,1620,810
962,576,18,1620,810
912,572,16,1490,745
912,572,16,1490,745
778,576,14,1332,666
778,576,14,1332,666
573,586,11,1073,536
573,586,11,1073,536
311,606,7,690,345
311,606,7,690,345
56,618,3,249,124
56,618,3,249,124
169,610,0,42,21
169,610,0,42,21
416,650,5,491,245
416,650,5,491,245
646,578,10,963,481
646,578,10,963,481
826,597,14,1318,659
826,597,14,1318,659
938,584,16,1510,755
938,584,16,1510,755
972,572,17,1536,768
972,572,17,1536,768
923,574,16,1474,737
923,574,16,1474,737
793,579,14,1331,665
793,579,14,1331,665
590,590,11,1075,537
590,590,11,1075,537
329,603,7,704,352
329,603,7,704,352
60,616,3,260,130
60,616,3,260,130
145,617,1,72,36
145,617,1,72,36
361,635,2,187,94
361,635,2,187,94
617,579,10,951,476
617,579,10,951,476
766,596,14,1335,668
766,596,14,1335,668
913,578,16,1479,739
913,578,16,1479,739
945,573,17,1516,758
945,573,17,1516,758
894,571,17,1598,799
894,571,17,1598,799
760,576,15,1428,714
760,576,15,1428,714
555,588,12,1109,555
555,588,12,1109,555
294,585,2,233,116
294,585,2,233,116
41,621,3,279,140
41,621,3,279,140
164,604,0,40,20
164,604,0,40,20
408,647,5,472,236
408,647,5,472,236
634,582,10,963,481
634,582,10,963,481
812,600,14,1308,654
812,600,14,1308,654
922,586,16,1485,742
922,586,16,1485,742
954,572,17,1516,758
954,572,17,1516,758
903,574,16,1461,730
903,574,16,1461,730
771,575,14,1248,624
771,575,14,1248,624
567,594,11,1041,521
567,594,11,1041,521
305,606,6,635,318
305,606,6,635,318
51,618,2,214,107
51,618,2,214,107
159,606,0,41,20
159,606,0,41,20
403,647,4,454,227
403,647,4,454,227
628,576,10,925,463
628,576,10,925,463
806,588,13,1256,628
806,588,13,1256,628
916,575,16,1439,719
916,575,16,1439,719
949,567,16,1478,739
949,567,16,1478,739
900,565,16,1429,715
900,565,16,1429,715
771,577,14,1300,650
771,577,14,1300,650
571,600,11,1073,537
571,600,11,1073,537
313,602,7,662,331
313,602,7,662,331
52,614,2,234,117
52,614,2,234,117
126,612,1,60,30
126,612,1,60,30
286,633,4,435,218
286,633,4,435,218
275,599,5,457,228
275,599,5,457,228
224,609,1,111,55
224,609,1,111,55
236,633,3,349,174
236,633,3,349,174
273,645,3,350,175
273,645,3,350,175
204,634,4,404,202
204,634,4,404,202
196,628,4,369,185
196,628,4,369,185
158,628,4,355,178
158,628,4,355,178
57,625,3,253,126
57,625,3,253,126
12,611,1,100,50
12,611,1,100,50
89,583,0,30,15
89,583,0,30,15
345,630,3,351,175
345,630,3,351,175
414,626,6,607,304
414,626,6,607,304
502,616,8,755,377
502,616,8,755,377
602,617,15,1461,731
602,617,15,1461,731
667,608,14,1324,662
667,608,14,1324,662
552,603,12,1146,573
552,603,12,1146,573
466,614,10,1024,512
466,614,10,1024,512
289,627,6,617,308
289,627,6,617,308
124,639,5,520,260
124,639,5,520,260
23,618,1,107,54
23,618,1,107,54
106,620,1,66,33
106,620,1,66,33
273,641,2,231,115
273,641,2,231,115
354,607,6,628,314
354,607,6,628,314
510,631,5,560,280
510,631,5,560,280
620,618,9,935,468
620,618,9,935,468
671,572,17,1535,767
671,572,17,1535,767
580,612,7,638,319
580,612,7,638,319
656,613,16,1618,809
656,613,16,1618,809
531,606,8,823,412
531,606,8,823,412
280,621,7,744,372
280,621,7,744,372
42,619,2,185,92
42,619,2,185,92
153,606,0,43,22
153,606,0,43,22
391,634,4,431,216
391,634,4,431,216
613,585,10,914,457
613,585,10,914,457
785,611,13,1264,632
785,611,13,1264,632
891,593,15,1437,719
891,593,15,1437,719
920,577,16,1477,738
920,577,16,1477,738
867,570,16,1417,709
867,570,16,1417,709
734,573,13,1157,579
734,573,13,1157,579
491,605,6,584,292
491,605,6,584,292
171,627,3,272,136
171,627,3,272,136
22,615,2,164,82
22,615,2,164,82
117,624,1,69,35
117,624,1,69,35
236,627,1,144,72
236,627,1,144,72
381,638,3,273,137
381,638,3,273,137
458,640,7,770,385
458,640,7,770,385
701,636,5,516,258
701,636,5,516,258
750,621,13,1312,656
750,621,13,1312,656
811,588,15,1405,703
811,588,15,1405,703
694,586,14,1319,659
694,586,14,1319,659
517,597,5,445,223
517,597,5,445,223
265,608,2,165,83
265,608,2,165,83
38,621,2,180,90
38,621,2,180,90
111,586,0,24,12
111,586,0,24,12
291,651,2,249,125
291,651,2,249,125
474,600,9,856,428
474,600,9,856,428
745,637,8,838,419
745,637,8,838,419
846,586,15,1406,703
846,586,15,1406,703
903,581,14,1310,655
903,581,14,1310,655
779,580,16,1529,765
779,580,16,1529,765
571,613,11,1034,517
571,613,11,1034,517
441,606,9,915,458
441,606,9,915,458
266,584,2,154,77
266,584,2,154,77
36,600,1,123,62
36,600,1,123,62
150,611,1,50,25
150,611,1,50,25
387,628,4,404,202
387,628,4,404,202
608,580,9,864,432
608,580,9,864,432
781,592,13,1219,610
781,592,13,1219,610
888,589,14,1309,654
888,589,14,1309,654
917,600,11,1025,513
917,600,11,1025,513
866,568,17,1508,754
866,568,17,1508,754
734,629,11,1103,551
734,629,11,1103,551
477,603,10,926,463
477,603,10,926,463
210,604,3,248,124
210,604,3,248,124
30,622,2,215,107
30,622,2,215,107
148,592,0,36,18
148,592,0,36,18
386,635,4,420,210
386,635,4,420,210
608,581,9,890,445
608,581,9,890,445
783,591,13,1210,605
783,591,13,1210,605
891,578,15,1387,694
891,578,15,1387,694
921,570,16,1423,711
921,570,16,1423,711
871,572,12,1120,560
871,572,12,1120,560
741,609,12,1231,615
741,609,12,1231,615
543,598,10,938,469
543,598,10,938,469
289,612,6,596,298
289,612,6,596,298
39,622,2,188,94
39,622,2,188,94
149,601,0,37,19
149,601,0,37,19
387,638,4,416,208
387,638,4,416,208
609,578,9,873,437
609,578,9,873,437
784,592,13,1205,603
784,592,13,1205,603
892,582,15,1372,686
892,582,15,1372,686
923,576,16,1444,722
923,576,16,1444,722
873,584,14,1300,650
873,584,14,1300,650
744,591,12,1178,589
744,591,12,1178,589
546,602,10,971,485
546,602,10,971,485
291,614,6,587,293
291,614,6,587,293
38,621,2,180,90
38,621,2,180,90
150,600,0,39,19
150,600,0,39,19
388,641,4,415,208
388,641,4,415,208
609,579,9,873,437
609,579,9,873,437
782,593,13,1202,601
782,593,13,1202,601
888,580,15,1377,688
888,580,15,1377,688
916,574,16,1428,714
916,574,16,1428,714
863,580,15,1379,690
863,580,15,1379,690
730,590,13,1220,610
730,590,13,1220,610
528,599,10,940,470
528,599,10,940,470
270,616,5,539,269
270,616,5,539,269
33,614,2,156,78
33,614,2,156,78
142,602,0,45,22
142,602,0,45,22
376,630,4,387,193
376,630,4,387,193
595,582,9,830,415
595,582,9,830,415
767,595,12,1169,585
767,595,12,1169,585
868,581,14,1317,659
